NAME_SHORT	WindOn	WindOff	PV	CSP
AT	1945	0	1000	0
BE	2023	3670	982	0
BG	2077	0	1344	0
CH	1833	0	803	0
CZ	1698	0	1000	0
DE	1726	2413	987	0
DK	2079	3803	772	0
EE	2383	0	833	0
ES	2150	2200	1702	2432
FI	2316	2313	667	0
FR	2080	0	1075	0
HR	1904	0	1188	0
HU	2106	0	732	0
IE	2688	3214	1000	0
IT	1625	0	1214	2000
LT	1858	0	1058	0
LU	1594	0	897	0
LV	2130	0	1000	0
MK		0	0	0
NL	2116	3165	741	0
NO	2900	3043	800	0
PL	2222	0	528	0
PT	2351	2500	1781	0
RO	2257	0	1495	0
SE	2764	3352	933	0
SI	1200	0	1151	0
SK	1500	0	949	0
EL	2210	0	1498	0
UK	2482	3421	823	0
